2.000000000000000000e+00	1.399323256829315199e+02
3.000000000000000000e+00	5.073223786183069706e+02
4.000000000000000000e+00	2.122088387176068807e+02
5.000000000000000000e+00	2.975960175271740127e+02
6.000000000000000000e+00	9.813066925239981231e+01
7.000000000000000000e+00	1.187088997896646845e+02
8.000000000000000000e+00	5.618353531518440747e+01
9.000000000000000000e+00	4.021049323919000784e+01
1.000000000000000000e+01	5.252692534585366246e+01
1.100000000000000000e+01	4.611019415652148012e+01
1.200000000000000000e+01	3.247193764821523843e+01
1.300000000000000000e+01	2.538545324446864981e+01
1.400000000000000000e+01	2.394768897440620137e+01
1.500000000000000000e+01	2.189029716926918212e+01
1.600000000000000000e+01	1.612339612559720692e+01
1.700000000000000000e+01	1.886022491796582656e+01
1.800000000000000000e+01	1.196393173227613005e+01
1.900000000000000000e+01	1.525022670496356270e+01
2.000000000000000000e+01	1.113066200878142631e+01
2.100000000000000000e+01	9.235454756161018963e+00
2.200000000000000000e+01	7.232597652680245126e+00
2.300000000000000000e+01	8.984249174942293692e+00
2.400000000000000000e+01	8.371886919597837817e+00
2.500000000000000000e+01	8.155564543158625668e+00
2.600000000000000000e+01	8.375137512317881061e+00
2.700000000000000000e+01	6.932349794982910929e+00
2.800000000000000000e+01	9.496366895391016527e+00
2.900000000000000000e+01	7.832481708666060527e+00
3.000000000000000000e+01	6.184532765683390387e+00
3.100000000000000000e+01	5.814510512081657367e+00
3.200000000000000000e+01	8.479304095064270186e+00
3.300000000000000000e+01	5.544740685738720032e+00
3.400000000000000000e+01	5.991440525020790275e+00
3.500000000000000000e+01	4.549567771212740475e+00
3.600000000000000000e+01	5.339325326379812608e+00
3.700000000000000000e+01	6.345554718712318909e+00
3.800000000000000000e+01	5.287947802244168827e+00
3.900000000000000000e+01	4.787650756541028230e+00
4.000000000000000000e+01	7.118015143497458119e+00
4.100000000000000000e+01	4.323140351514496160e+00
4.200000000000000000e+01	4.404828922568936989e+00
4.300000000000000000e+01	4.348454933565383485e+00
4.400000000000000000e+01	3.806537463815497624e+00
4.500000000000000000e+01	3.245830297945225151e+00
4.600000000000000000e+01	3.701473116982912703e+00
4.700000000000000000e+01	4.745111668341867706e+00
4.800000000000000000e+01	2.854888558016073219e+00
4.900000000000000000e+01	4.085820239335972381e+00
5.000000000000000000e+01	4.057050462410247249e+00
5.100000000000000000e+01	2.870665379084970770e+00
5.200000000000000000e+01	3.347389629244979847e+00
5.300000000000000000e+01	2.482086066506248301e+00
5.400000000000000000e+01	2.560346290653614965e+00
5.500000000000000000e+01	2.975814348933126130e+00
5.600000000000000000e+01	3.552230645105193485e+00
5.700000000000000000e+01	3.266170347226757809e+00
5.800000000000000000e+01	3.154799634495851546e+00
5.900000000000000000e+01	2.400782757708554982e+00
6.000000000000000000e+01	2.808767540296619902e+00
6.100000000000000000e+01	2.661186945433402506e+00
6.200000000000000000e+01	3.124559528903660066e+00
6.300000000000000000e+01	2.717425366366173822e+00
6.400000000000000000e+01	2.622260911087358259e+00
6.500000000000000000e+01	2.318997430635225232e+00
6.600000000000000000e+01	2.126840810428765938e+00
6.700000000000000000e+01	2.477201943169962561e+00
6.800000000000000000e+01	2.430034012461530057e+00
6.900000000000000000e+01	2.717633000661178855e+00
7.000000000000000000e+01	2.318056813264391280e+00
7.100000000000000000e+01	2.166946087165618540e+00
7.200000000000000000e+01	2.092349722112211818e+00
7.300000000000000000e+01	2.851355435252731052e+00
7.400000000000000000e+01	2.577830053268473698e+00
7.500000000000000000e+01	1.963980576848349147e+00
7.600000000000000000e+01	1.928511740034373201e+00
7.700000000000000000e+01	2.275381912666033291e+00
7.800000000000000000e+01	2.042205326750771821e+00
7.900000000000000000e+01	1.514814170722545095e+00
8.000000000000000000e+01	2.096480107774584045e+00
8.100000000000000000e+01	2.101171871983819717e+00
8.200000000000000000e+01	2.407130942078018254e+00
8.300000000000000000e+01	1.819520591073202187e+00
8.400000000000000000e+01	1.696559836891739392e+00
8.500000000000000000e+01	1.892567973926351010e+00
8.600000000000000000e+01	2.069430784775450505e+00
8.700000000000000000e+01	2.069430090150118584e+00
8.800000000000000000e+01	1.641746768635605536e+00
8.900000000000000000e+01	1.909965791089084153e+00
9.000000000000000000e+01	1.894295166307452316e+00
9.100000000000000000e+01	2.005038803120285262e+00
9.200000000000000000e+01	1.833368268921891309e+00
9.300000000000000000e+01	1.864614952470492026e+00
9.400000000000000000e+01	1.668327345304709386e+00
9.500000000000000000e+01	1.451162297152039482e+00
9.600000000000000000e+01	1.569377190460029547e+00
9.700000000000000000e+01	1.791145075788915131e+00
9.800000000000000000e+01	1.278970991583578520e+00
9.900000000000000000e+01	1.760288812202004172e+00
1.000000000000000000e+02	1.728523130400354546e+00
